State,Year,Category,Project,Company,Jobs Created,Qualified Expenditures,Incentive Issued
Illinois,,TV,Doubt - Pilot,,,
Louisiana,2012,Feature Film,Random,Co-Ed Productions LLC,,"$4,313,926","$1,369,083"
Connecticut,2014,Film and Digital Media Production Tax Credit,,"Hedgeye Risk Management, LLC",,,"$1,367,553"
Louisiana,2014,Feature Film,The Runner,The Runner LLC,,"$4,408,619","$1,362,574"
New York,2017,Post-Production,Hail Caesar!,What Gaiety! LLC,210,"$4,725,248","$1,361,645"
California,2017,Feature Film,Sierra Burgess is a Loser,SB 2015 LLC,169,"$5,439,000","$1,359,000"
Ohio,2014,,With This Ring,W oodridge Productions,,,"$1,357,818"
Louisiana,2012,Feature Film,Pawn Shop Chronicles,PSC Productions LLC,,"$4,275,757","$1,356,121"
Massachusetts,2013,,Hatfields & McCoys,"FTP Productions, LLC",,,"$1,352,410"
North Carolina,2013,,Careful What You Wish For,"CWYWF Productions, Inc.",200,"$5,391,239","$1,347,810"
Ohio,2016,,A Dolphin In Our Lake,"A Dolphin In Our Lake Movie, LLC",,,"$1,345,121"
Connecticut,2010,Film Infrastructure Tax Credit,,"345 Ely, LLC",,"$6,723,934","$1,344,787"
Florida,,HIGH IMPACT TV SERIES,THE INBETWEENERS - SEASON 1,,793,"$5,353,132","$1,338,328"
Oregon,2014,Series TV,GRIMMM (S2),STUDIOS USA FIRST-RUN ENTERTAINMENT,,,"$1,337,085"
Louisiana,2010,TV Special,NFL Kickoff 2010,Louisiana Football LLC,,"$4,445,918","$1,333,775"
New York,2016,Film/TV,Fey/Carlock Pilot,"Universal Television, LLC",873,"$5,254,109","$1,332,564"
Louisiana,2013,TV Reality,Bellator Reality Series,Louisiana RPI LLC (Viacom),,"$4,058,486","$1,330,237"
Illinois,,TV,Untitled Berman/Wright/Dinner Pilot,,,
New York,2015,Film/TV,Inside Amy Schumer Season 2,Central Productions LLC,751,"$6,293,004","$1,315,860"
New York,2017,Film/TV,Staten Island Summer,East Shore,856,"$5,410,501","$1,313,264"
California,2017,Feature Film,Shutter Spy,"Shutter Spy Productions, Inc",198,"$6,365,000","$1,309,000"
New York,2016,Film/TV,Divorce Pilot,,405,"$5,612,840","$1,308,544"
Louisiana,2013,TV Pilot,Untitled Occult Pilot,Produced Bayou Inc. (ABC Studios),,"$4,049,210","$1,306,005"
New York,2015,Post-Production,Foxcatcher (fka Fair Hill),Fair Hill LLC,68,"$5,291,499","$1,303,643"
Connecticut,2016,Film and Digital Media Production Tax Credit,,"Digital Surgeons, LLC",,"$5,778,748","$1,300,404"
Oregon,2014,Feature Film,WILD,Cleland Productions Inc,,,"$1,300,388"
Ohio,2014,,Missing In Cleveland,W oodridge Productions,,,"$1,299,502"
New York,2014,Film/TV,Happyish Pilot,Possible Productions Inc.,799,"$5,512,454","$1,297,059"
Louisiana,2015,TV Series,Scream,Next Production LLC,,"$3,857,792","$1,295,346"
Pennsylvania,,,Do Not Harm,"Open 4 Business Productions, LLC",100,,"$1,294,161"
Louisiana,2013,Feature Film,The Town That Dreaded Sundown,TTTDS Productions LLC,,"$4,080,736","$1,293,790"
Louisiana,2016,Feature Film,"Heart, Baby",Three Point Capital Louisiana LLC,,"$3,719,251","$1,293,621"
New York,2016,Film/TV,Mr. Robot - Pilot,Universal Network TV LLC,696,"$5,454,909","$1,290,464"
Louisiana,2012,Feature Film,Dallas Buyer's Club,DBC South LLC,,"$4,114,879","$1,282,165"
Louisiana,2012,Feature Film,The Last Exorcism II,Fallen Angel Investments LLC,,"$4,081,826","$1,280,114"
Louisiana,2014,TV Pilot,The Magicians Pilot,Northern Entertainment of Louisnaa LLC,,"$3,973,942","$1,277,327"
Oregon,2013,Series TV,GRIMM (S1),STUDIOS USA FIRST-RUN ENTERTAINMENT,,,"$1,268,521"
Tennessee,2016,TV Series,Still the King Season 1,,,"$6,325,592","$1,268,403"
California,2017,Feature Film,Frindle,Gulfstream Pictures,123,"$5,069,000","$1,267,000"
Connecticut,2014,Film and Digital Media Production Tax Credit,,"ESPN Enterprises, Inc.",,,"$1,264,686"
Minnesota,,TV S,Delicious Destinations-52,,,"$5,053,124","$1,263,281"
New York,2016,Film/TV,Nicki,"Hop, Skip and Jump Productions, Inc.",570,"$4,702,453","$1,259,086"
Illinois,,TV,Betrayal (Pilot),,,
Pennsylvania,,,Tanked Season 4,"Nancy Glass Productions, Inc.",0,,"$1,254,926"
Rhode Island,2010,TV Series,Body of Evidence - Pilot,,,"$5,401,312","$1,254,576"
Rhode Island,2016,Feature,The Polka King,,,"$8,500,000","$1,252,230"
Louisiana,2014,TV Reality,Miss USA Pageant,Miss USA BR Productions LLC,,"$4,155,719","$1,250,724"
Oregon,2016,Feature Film,KUBO & THE TWO STRINGS,Laika Inc,,,"$1,250,000"
Oregon,2015,Feature Film,KUBO & THE TWO STRINGS,LAIKA Inc,,,"$1,250,000"
California,2016,Feature Film,Late Bloomer (Feature),Eclectic Films,145,"$4,999,000","$1,249,000"
Illinois,,Film,Sinister 2,,,
South Carolina,2016,MOW's/Cable Movies/TV Series/Pilots,The Sinner,,409,"$5,197,492","$1,242,260"
Louisiana,2011,TV MOW,Justice for Natalee,Justice for Natalee Investments (Sony),,"$3,938,205","$1,241,806"
California,2015,Feature Film,Cake,American Zoetrope,90,"$4,960,000","$1,240,000"
Washington,2014,Feature Film,Captain Fantastic,,,,"$1,239,275"
Pennsylvania,,,Tanked Season 6,"Tanked Season 6, LLC",30,,"$1,239,224"
Connecticut,2012,Film and Digital Media Production Tax Credit,,LifeMed Media Inc.,,,"$1,234,900"
Connecticut,2013,Film and Digital Media Production Tax Credit,,LifeMed Media Inc.,,,"$1,234,630"
Louisiana,2012,Feature Film,Angry Little Gods,Unlucky Number Investments LLC,,"$3,856,018","$1,233,964"
Ohio,2014,,Children Of Wrath,Post Industrial Productions,,,"$1,232,816"
California,2016,Pilot,This Is Us Pilot,Twentieth Century Fox Film Corporation,158,"$5,979,000","$1,226,000"
Connecticut,2014,Film Infrastructure Tax Credit,,"Back9Network, Inc.",,"$6,127,395","$1,225,479"
New York,2017,Film/TV,High Maintenance - Season 1,"HGMT, Inc.",658,"$5,623,511","$1,222,153"
Oregon,2015,Series TV,GRIMMM (S3),STUDIOS USA FIRST-RUN ENTERTAINMENT,,,"$1,218,307"
North Carolina,2007,,The Marc Pease Experience,"Paramount Vantage, a division of Paramount Pictures","1,034","$8,116,035","$1,217,405"
Louisiana,2011,TV Pilot,Scent of the Missing,Danni Productions LLC (CBS Studios),,"$3,832,406","$1,212,489"
Massachusetts,2014,,Grey Lady,"Grey Lady Productions, LLC",,,"$1,212,417"
Ohio,2015,,Dead Wrong,Minds i Cinema,,,"$1,209,692"
Utah,2017,,The Outpost Season 1,,,
Mississippi,2017,,Quarry,,,"$275,913","$1,201,600"
Louisiana,2012,Feature Film,The Starving Games,Lily Dog LLC,,"$3,758,101","$1,193,745"
Louisiana,2015,Feature Film,The Billionaire Boys club,Three Point Capital Louisiana LLC,,"$3,633,662","$1,192,624"
Connecticut,2017,Film and Digital Media Production Tax Credit,,"SeeClickFix, Inc.",,"$12,136,214","$1,186,238"
New York,2016,Film/TV,Horace & Pete,"Pig Newton, Inc.",380,"$4,483,960","$1,185,598"
Texas,2012,Feature Film,True Grit,,,,"$1,185,114"
Connecticut,2011,Film and Digital Media Production Tax Credit,,LifeMed Media Inc.,,,"$1,178,100"
Oregon,2015,Series TV,THE LIBRARIANS (S1),Iron Girl Productions Inc,,,"$1,177,786"
North Carolina,2014,,Secrets and Lies,"ABC, Inc.",,"$4,706,058","$1,176,514"
Louisiana,2014,Feature Film,Zipper,Hush Investments LLC,,"$3,714,274","$1,175,744"
Illinois,,TV,Chicago Fire #16 & 17,,,
Illinois,,TV,Chicago Fire #2-3,,,
Pennsylvania,,,Estranged aka Sundowning; The Visit,Jamison Farms Productions LLC,460,,"$1,170,588"
Rhode Island,2009,TV Series,Empire State - Pilot,,,"$6,139,607","$1,169,343"
Louisiana,2011,TV MOW,Hide,Turner NOLA Productions Inc.,,"$3,641,053","$1,167,889"
Ohio,2015,,Zoey & The Aegis,OutPost Media LLC,,,"$1,165,750"
Louisiana,2015,TV MOW,2015 Miss USA Pageant,MISS USA BR Productions LLC,,"$3,834,552","$1,165,712"
Illinois,,Commercial,"""Anthem"" ""Natural Gas""",,,
North Carolina,2006,,The Ultimate Gift,"Ultimate Gift, LLC",659,"$7,733,888","$1,160,083"
Ohio,2015,,City of Silence,Minds i Cinema,,,"$1,155,976"
Massachusetts,2016,,Live By Night,Kiki Tree Pictures Inc.,,,"$1,155,779"
New York,2016,Film/TV,Songbyrd Pilot,"Universal Network Television, LLC",742,"$5,071,265","$1,151,302"
New York,2015,Post-Production,Fifth Estate,Fifth Estate Prodns LLC,58,"$4,381,868","$1,148,653"
Illinois,,TV,Iyanla Fix My Life S2 epi 201-220,,,
Louisiana,2012,Feature Film,Hours,Hours Productions LLC,,"$3,616,777","$1,145,344"
Texas,2015,Feature Film,Untitled Malick project V,,,,"$1,142,358"
Louisiana,2011,TV MOW,Ricochet,Turner NOLA Productions Inc.,,"$3,553,632","$1,142,088"
Oregon,2014,Feature Film,THE BOXTROLLS,Laika Inc.,,,"$1,135,000"
Pennsylvania,,,"Me, Earl & The Dying Girl",MEDG Films LLC,0,,"$1,133,236"
Connecticut,2010,Film and Digital Media Production Tax Credit,,WOOPs. LLC,,"$3,772,397","$1,131,719"
North Carolina,2012,,Witches of East End,"Pacific 2.1 Entertainment Group, Inc.",170,"$4,526,755","$1,131,689"
Pennsylvania,,,Prepared For A Purpose.,"Topanga Productions, Inc.",220,,"$1,130,055"
Texas,2013,Feature Film,Project Dave/Despicable ME the Ride,,,,"$1,127,843"
Texas,2013,Feature Film,Radio City Music Hall 3D Spectacular,,,,"$1,123,544"
Illinois,,TV,Chicago Fire #18 & 19,,,
New York,2016,Film/TV,Ten Thousand Saints,,748,"$4,997,511","$1,118,918"
North Carolina,2012,,Fight Sprawl Productions,"Fight Sprawl Productions I, LLC",14,"$4,465,817","$1,116,454"
Louisiana,2011,Feature Film,No One Lives,WWE,,"$3,548,109","$1,105,367"
New York,2016,Film/TV,"Donny!, Season 1",Kenilworth Productions Inc.,583,"$4,937,937","$1,104,821"
Louisiana,2013,Feature Film,North of Hell,NOH Investments LLC,,"$3,483,966","$1,100,595"
Virginia,2017,,Loving,,,
Virginia,2015,,Ithaca,,,
North Carolina,2014,,The Novice,Pacific 2.1 Entertainment Group,707,"$4,396,958","$1,099,240"
North Carolina,2015,,The Novice,Pacific 2.1 Entertainment Group,707,"$4,396,958","$1,099,240"
Connecticut,2009,Film and Digital Media Production Tax Credit,,NBC Sports Ventures LLC,,,"$1,098,960"
New York,2016,Film/TV,"Characters, Season 1","Jax Specials, LLC",759,"$5,273,338","$1,096,816"
New York,2016,Film/TV,Benders Season 1,Benders Productions I LLC,461,"$5,095,817","$1,096,249"
North Carolina,2013,,A Dog Named Suki,"Artcraft Productions, Inc.",157,"$4,381,771","$1,095,443"
Massachusetts,2014,,Odyssey - Pilot,"Universal Television, LLC",,,"$1,095,293"
Tennessee,2014,Feature (Independent),THE IDENTICAL,,,"$6,440,652","$1,094,911"
Illinois,,TV,Chicago Fire #14 & 15,,,
California,2017,Feature Film,Callahan,Amazon Studios LLC,150,"$5,423,000","$1,091,000"
Louisiana,2011,TV Pilot,Hound Dogs,Delta Blues Pictures LLC (Warner Bros.),,"$3,399,844","$1,089,955"
New York,2016,Film/TV,Wolves,Corner J. Inc.,966,"$4,752,873","$1,087,583"
Rhode Island,2014,Feature,Bleed for This,,,"$12,383,387","$1,083,424"
New York,2016,Film/TV,Gaffigan Pilot #2,,747,"$4,438,483","$1,080,686"
North Carolina,2010,,Bonanza Productions Inc,Bonanza Productions Inc.,160,"$4,497,875","$1,078,374"
New York,2015,Film/TV,Five To Seven,Five to Seven Prodns Inc,904,"$4,930,886","$1,075,836"
Tennessee,2014,Feature (Independent),STOKER,,,"$6,327,052","$1,075,599"
New York,2015,Film/TV,Song One,Song One Productions Inc,742,"$4,775,609","$1,075,319"
New York,2015,Post-Production,Hundred Foot Journey,"100 Ft. Journey Productions, LLC",30,"$4,041,213","$1,075,234"
Louisiana,2013,Feature Film,Return to Sender,Return to Sender LLC,,"$3,409,967","$1,072,249"
California,2016,Pilot,Four Stars Pilot,"CBS Studios, Inc.",205,"$5,342,000","$1,072,000"
Illinois,,TV,Runner aka The End,,,
Tennessee,2010,TV Reality,NASHVILLE STAR: SEASON 6,,,"$6,462,449","$1,069,367"
Connecticut,2014,Film and Digital Media Production Tax Credit,,"Ease Commercial Services, Inc.",,"$3,554,614","$1,066,384"
New York,2016,Post-Production,Love The Coopers,CBS Films Inc.,34,"$4,408,934","$1,065,729"
Louisiana,2013,TV Special,NFL Honors 2013,Louisiana Football LLC,,"$3,549,335","$1,064,801"
Alabama,2013,,A Convergence,,,
Alabama,2012,,Oculus,,,
Connecticut,2016,Film and Digital Media Production Tax Credit,,"SeeClickFix, Inc.",,,"$1,062,518"
Louisiana,2015,Feature Film,Camera Store,Bibideaux Investments LLC,,"$3,094,403","$1,062,024"
New York,2015,Film/TV,Great Gilly Hopkins,Gilly Film Production Inc,535,"$4,856,621","$1,060,870"
Pennsylvania,,,Allegiance,Universal Television LLC,523,,"$1,060,544"
North Carolina,2011,,Teen Spirit,"Crawfish Productions, LLC S & B Productions, Inc.",537,"$4,231,229","$1,057,807"
New York,2016,Film/TV,Sharing - Pilot,Universal Television LLC,392,"$4,485,966","$1,057,134"
Louisiana,2012,Feature Film,A'int Them Bodies Saints,ATBS Production LLC,,"$3,389,267","$1,056,036"
Ohio,2016,,Signal To Noise,"Await Further Instructions, LLC",,,"$1,055,278"
Nevada,2017,,Monopoly Millionaires Club 2,Scientific Games,,,"$1,055,226"
Minnesota,,FF,WILSON,,,"$4,210,828","$1,052,707"
Louisiana,2012,Feature Film,Expendables II,Season Financing LLC (Nu Image),,"$3,479,058","$1,051,723"
Louisiana,2013,Feature Film,Elsa & Fred,Sisung Film Finance LLC,,"$3,346,419","$1,049,602"
Pennsylvania,,,Tanked Season 5,"Lawn and Order, LLC",57,,"$1,048,829"
New York,2016,Post-Production,Mortdecai,Mort Productions Limited,52,"$4,022,306","$1,048,258"
Pennsylvania,,,Tanked Season 3,Nancy Glass Productions,29,,"$1,045,998"
Alabama,2012,,Home Front,,,
New York,2017,Film/TV,Barry,"Morningside Pictures, Inc.",980,"$4,613,088","$1,043,238"
Rhode Island,2009,TV Series,House Rules - Pilot,,,"$5,253,725","$1,037,086"
California,2017,Feature Film,Between the Rain,Gulfstream Pictures,122,"$4,147,000","$1,036,000"
Illinois,,TV,Influence - Pilot,,,
California,2016,Feature Film,Swiss Army Man,Ironworks Productions,69,"$4,140,000","$1,035,000"
California,2017,Feature Film,Greed,Mutual Friends LLC,116,"$4,128,000","$1,032,000"
Louisiana,2013,Feature Film,Random,Co-Ed Productions LLC,,"$3,236,195","$1,029,538"
Louisiana,2011,Feature Film,Django Unchained,SuperCoolManChu Too LLC,,"$3,299,487","$1,028,718"
Louisiana,2016,Feature Film,Pure Country 3,Louisiana Premiere Productions LLC,,"$3,039,803","$1,028,278"
North Carolina,2009,,Main Street,Main Street Film Co LLC,75,"$6,852,947","$1,027,942"
North Carolina,2013,,Ghosts,"Jessabelle Productions, Inc.",208,"$4,110,919","$1,027,730"
California,2015,Feature Film,Drive She Said,Beau Site Productions,90,"$4,100,000","$1,025,000"
Connecticut,2016,Film and Digital Media Production Tax Credit,,"Tantor Media, Inc.",,"$10,785,110","$1,024,772"
North Carolina,2013,,The Remaining,Cinematic LLC,"1,200","$4,096,168","$1,024,042"
Ohio,2014,,The Blunderer,Blunderer Productions LLC,,,"$1,020,908"
Texas,2012,Feature Film,When Angels Sing,,,,"$1,019,272"
Connecticut,2015,Film Infrastructure Tax Credit,,"CFC Stillwater, LLC",,"$5,088,616","$1,017,723"
North Carolina,2011,,A Smile as Big as the Moon,"McGee Street Productions, Inc.",484,"$4,069,284","$1,017,321"
New York,2016,Film/TV,Time Out Of Mind,Time Out Of Mind Inc.,676,"$4,428,921","$1,014,543"
Connecticut,2010,Film and Digital Media Production Tax Credit,,LifeMed Media Inc.,,,"$1,013,203"
New York,2016,Film/TV,Saturday Night Live 40th Anniversary,"NBC Studios, LLC",650,"$8,611,871","$1,012,764"
Ohio,2015,,A Christmas Melody,"OHX Productions, LLC",,,"$1,010,915"
Connecticut,2014,Film and Digital Media Production Tax Credit,,"Production One, Inc.",,"$3,367,622","$1,010,287"
Connecticut,2014,Film Infrastructure Tax Credit,,"World Wrestling Entertainment, Inc.",,"$5,043,689","$1,008,738"
Louisiana,2015,Feature Film,The Tale,The Horse's Tale LLC,,"$2,997,439","$1,007,691"
California,2017,Feature Film,Unbroken - Path to Redemption,"1440 Productions, LLC",136,"$4,920,000","$1,004,000"
New York,2014,Film/TV,People in New Jersey Pilot,"Springfield Avenue Productions, LLC",565,"$4,302,722","$1,001,914"
Alabama,2013,,Mom's Night Out,,,
Colorado,2017,TV Series,Top Chef,NBC Universal/Bravo Media Productions,,"$5,009,550","$1,000,000"
California,2016,Feature Film,Please Stand By,American Zoetrope,135,"$4,001,000","$1,000,000"
Virginia,2012,,Lincoln,,,
Utah,2013,,Dear Dumb Diary,,,
Rhode Island,2016,Feature,The Discovery,,,"$5,824,000","$998,576"
Louisiana,2011,TV Series,Wheel of Fortune,Quadra Bayou Investments (Sony),,"$3,328,237","$998,471"
New York,2016,Post-Production,American Ultra,"American Ultra Post Productions, Inc.",31,"$3,553,729","$996,372"
Rhode Island,2006,TV Series,Waterfront Pilot,,,"$3,067,875","$993,106"
California,2016,Pilot,Pure Genius Pilot,Universal Television LLC,223,"$4,894,000","$991,000"
Kentucky,2017,,Tragedy Girls,Tragedy Girls Pictures,,,"$989,290"
North Carolina,2011,,Home & Away,"Fort Hill Productions, LLC",,"$3,938,718","$984,680"
Utah,2016,,The Jade Pendant,,,
Illinois,,Film,Untitled Nash Edgerton Project,,,
Texas,2017,Feature Film,Lazer Team,,,,"$981,199"
Oklahoma,,,The Veil,,
Louisiana,2014,Feature Film,Mind Puppets,Mind Puppets Investments LLC,,"$3,073,550","$979,094"
Ohio,2016,,Tower,Dog and Pony Media LLC,,,"$977,240"
Pennsylvania,,,Feature Film - The Virtuoso,Virtuoso Productions LLC,50,,"$974,504"
Texas,2016,Television Program,The Catch,,,,"$971,213"
North Carolina,2008,,The Secret Life of Bees,Secretbee Production,313,"$6,474,500","$971,175"
Louisiana,2013,Feature Film,Olympus Has Fallen,Padre Nuestro Financing LLC (Nu Image),,"$3,206,023","$961,837"
Pennsylvania,,,Franny,"Brandywine 5 PA, Inc.",0,,"$961,731"
Florida,,FEATURE FILM,TOMORROWLAND,,461,"$4,799,671","$959,935"
Rhode Island,2008,Feature,The Clique,,,"$3,600,000","$954,945"
Kentucky,2016,,JL Ranch (Feature),"JL Lansberg Ranch Productions, LLC (2)",,,"$952,867"
Louisiana,2011,Feature Film,Baytown Disco,BMP Baytown Disco LLC,,"$2,969,259","$952,819"
Louisiana,2015,Feature Film,The Devil and the Deep Blue Sea,DDB Sea Investments LLC,,"$2,982,354","$952,509"
Ohio,2013,,Criminal Activities / Motor City,Motor City LLC,,,"$951,462"
Connecticut,2012,Film and Digital Media Production Tax Credit,,NBC Sports Ventures LLC,,,"$950,176"
Utah,2014,,Granite Flats S2,,,
Illinois,,TV,Where Are They Now Season 2,,,
North Carolina,2012,,Hornet's Nest,"Turner North Center Productions, Inc.",663,"$3,794,783","$948,696"
South Carolina,2015,MOW's/Cable Movies/TV Series/Pilots,The Inspectors - Season 1,,143,"$2,913,786","$947,484"
Louisiana,2014,Feature Film,Crone,Abattoir Investments Inc.,,"$2,927,896","$946,149"
Connecticut,2010,Film and Digital Media Production Tax Credit,,"Coral Beach Films, Inc.",,"$3,153,083","$945,925"
North Carolina,2014,,Ashby,"Ashby, The Movie, LLC",484,"$3,770,249","$942,562"
Connecticut,2015,Film Infrastructure Tax Credit,,"CT Public Broadcasting, Inc.",,"$4,708,965","$941,793"
Louisiana,2011,Feature Film,Now You See Me,See Me Louisiana LLC,,"$3,010,186","$938,287"
Pennsylvania,,,Restaurant Impossible - Season 5,"MSPT - Restaurant Impossible, LLC",11,,"$936,578"
Illinois,,TV,Shameless 14/15 Series,,,
New York,2016,Film/TV,Crashing - Pilot,"Crash for Gold Productions, LLC",716,"$3,714,663","$935,059"
North Carolina,2013,,Ultimate Life,"Ultimate Life, LLC",209,"$3,734,969","$933,742"
Texas,2014,Feature Film,PARKLAND,,,,"$932,133"
New York,2016,Post-Production,Free State of Jones,"FSO Jones, LLC",38,"$3,490,488","$931,127"
North Carolina,2012,,Bachelorette,NZK Productions,151,"$3,719,090","$929,772"
Texas,2017,Television Program,DELIVERANCE CREEK,,,,"$928,712"
California,2017,Pilot,Olive Forever,"Universal Cable Productions, LLC",200,"$4,633,000","$926,000"
Louisiana,2012,Feature Film,Nothing to Fear,NFT Investments LLC,,"$2,918,225","$924,923"
Louisiana,2013,Feature Film,99 homes,99 Home Productions LLC,,"$2,918,840","$921,912"
Illinois,,TV,Shameless 13/14 Series (S4),,,
Florida,,TV SERIES PILOT,HOKE PILOT,,630,"$4,978,106","$921,399"
Pennsylvania,,,Downward Dog (Pilot),Ruff Draft Productions LLC,311,,"$921,144"
Florida,,TV SERIES,"11-11, EN MI CUADRA",,368,"$3,679,598","$919,899"
North Carolina,2012,,Writers,"Writers the Movie, LLC",727,"$3,678,927","$919,732"
Louisiana,2014,TV Series,Swamp People Season 6,Swampy Projects LLC,,"$2,882,907","$919,536"
Louisiana,2014,TV Reality,Pitbulls and Parolees Season 6,PBP LLC,,"$2,832,145","$916,739"
Massachusetts,2012,,The Way Way Back,"WWBSP, LLC",,,"$915,740"
Pennsylvania,,,Tanked- Season Two,Extreme Poodles LLC,75,,"$914,427"
Alabama,2012,,Space Warriors,,,
New York,2016,Post-Production,Sons of Liberty,,46,"$3,335,975","$914,181"
Louisiana,2014,Feature Film,Bad ASS 3,Ginobli LLC,,"$2,919,943","$912,973"
Utah,2014,,The West,,,
California,2016,Pilot,Animal Kingdom Pilot,Horizon Scripted Television Inc.,174,"$4,556,000","$911,000"
Ohio,2016,,Beautiful Letdown,Dog and Pony Media LLC,,,"$908,082"
Louisiana,2011,Feature Film,Playing the Field,"Playing Financing, LLC/Playing Productions, LLC",,"$3,018,548","$906,360"
Illinois,,TV,Iyanla Fix My Life Season 3 (301-308),,,
Virginia,2015,,Turn (Season 1),,,
Illinois,,TV,Oprah's Life Class Season 4 (Eps. 401-412),,,
California,2015,Feature Film,Love is all You Need?,"Love is All You Need, LLC",148,"$3,599,000","$899,000"
Louisiana,2015,Feature Film,Busted,DMWT,,"$2,780,207","$896,149"
Louisiana,2013,TV Series,Swamp People Season 5,Swampy Projects LLC,,"$2,746,448","$894,636"
Louisiana,2012,TV Series,Untitled Pizzolatto Cop Project,Allegra Productions LLC,,"$2,975,735","$893,004"
Connecticut,2014,Film and Digital Media Production Tax Credit,,LifeMed Media Inc.,,,"$892,793"
Louisiana,2011,Documentary,Hidden Worlds,Hidden Worlds Investment LLC,,"$2,874,980","$892,056"
Connecticut,2008,Film and Digital Media Production Tax Credit,,Camp Hope Productions LLC,,"$2,965,067","$889,520"
New York,2015,Film/TV,DeadBeat - Season 1,"Dakota Pictures, Inc.",462,"$4,502,493","$887,267"
Florida,,TV SERIES,GRACHI 4,,395,"$3,903,037","$885,664"
Pennsylvania,,,Restaurant Impossible - Season 2 - 13 Episodes,"MSPT Restaurant Impossible, LLC",12,,"$885,227"
South Carolina,2014,MOW's/Cable Movies/TV Series/Pilots,Identity (Pilot_,,515,"$2,244,739","$879,333"
Utah,2016,,Small Town Crime,,,
Connecticut,2011,Film and Digital Media Production Tax Credit,,MBZ LLC,,"$2,921,969","$876,591"
Nevada,2015,,Sin City Saints,SC Saints Productions,,,"$871,339"
Louisiana,2013,Feature Film,Dermaphoria,Dermaphoria Productions LLC,,"$2,778,221","$871,213"
California,2017,Feature Film,Suspended Belief,"OddFX Films, LLC",100,"$3,448,000","$862,000"
Illinois,,TV,Shameless Season 3,,,
New York,2015,Film/TV,Manhattan Love Story Pilot,FTP Productions LLC,561,"$3,556,826","$860,419"
Louisiana,2015,Feature Film,Fantastic Four,Fox Louisiana Investment LLC,,"$2,868,013","$860,404"
Louisiana,2012,Feature Film,Aztec Warrior,Azwar The Movie LC,,"$2,720,592","$859,049"
Louisiana,2013,Feature Film,Fantastic Four,Fox Louisiana Investment LLC,,"$2,758,060","$856,039"
Pennsylvania,,,Outrageous Sports Screw-Ups,"Steve Rotfeld Productions, Inc.",17,,"$855,042"
South Carolina,2015,Feature film,Meagen Leavey,,585,"$1,686,444","$854,794"
Louisiana,2012,Feature Film,Hateship Friendship Courtship Loveship and Marriage,Hateship Productions Louisiana LLC,,"$2,721,379","$854,560"
Utah,2017,,Hereditary,,,
Rhode Island,2006,Feature,The Education of Charlie Banks,,,"$3,686,875","$851,477"
Louisiana,2011,Feature Film,Universal Soldier 4,After Dark / Signature Films,,"$2,826,250","$848,254"
New York,2016,Film/TV,Wiener - Dog,"Doody, Inc.",494,"$3,286,257","$847,785"
Louisiana,2014,Feature Film,D Train,Dtrain Productions LLC,,"$2,643,893","$846,466"
Ohio,2016,,WWE Entertainment,"Event Services, Inc.",,,"$843,630"
Louisiana,2015,Feature Film,Broad Daylight,Broad Daylight LLC,,"$2,806,471","$841,941"
New York,2017,Post-Production,Snowden,"Sacha, Inc.",25,"$3,072,192","$841,004"
Mississippi,2017,,The Hollars,,,"$284,481","$840,134"
Florida,,FEATURE FILM,A CHANGE OF HEART,,816,"$4,195,440","$839,088"
California,2017,Pilot,The Get,CBS Studios Inc.,316,"$4,182,000","$838,000"
Pennsylvania,,,Xploration Station,"Steve Rotfeld Productions, Inc.",47,,"$837,700"
Connecticut,2012,Film and Digital Media Production Tax Credit,,"Bald Diner, LLC",,"$2,789,179","$836,754"
Connecticut,2010,Film and Digital Media Production Tax Credit,,NBC Sports Ventures LLC,,,"$836,603"
Ohio,2015,,Pro Football Weekly,"PFFA Acquisition, LLC",,,"$835,330"
Illinois,,TV,Shameless Season 2,,,
Connecticut,2016,Film and Digital Media Production Tax Credit,,"Connecticut Public Broadcasting, Inc.",,"$7,817,478","$834,747"
North Carolina,2014,,The Rise of Thadland,"Blue Mountain State the Movie, LLC",517,"$3,321,792","$830,448"
New York,2017,Film/TV,Adderall Diaries,"Adderall Diaries, LLC",631,"$3,366,751","$829,846"
Tennessee,2018,Feature,All Saints,,,"$3,310,780","$827,695"
Massachusetts,2013,,Southie Rules,"All Screens Entertainment, Inc.",,,"$827,428"
New York,2015,Film/TV,Maggie's Plan,"Hall Monitor, Inc.",504,"$3,702,049","$827,021"
Massachusetts,2014,,Terminales,"Term Productions, Inc.",,,"$824,886"
Connecticut,2013,Film and Digital Media Production Tax Credit,,"SeeClickFix, Inc.",,,"$824,069"
New York,2017,Film/TV,Sunny Side Up Season 7,Sprout Media Productions,153,"$3,038,912","$820,344"
Ohio,2016,,Mercy,"Mercy Film Productions, Inc.",,,"$819,853"
Ohio,2014,,The Tank,The Tank LLC,,,"$819,745"
Louisiana,2014,Feature Film,The Legend of Hercules,GP Financing LLC,,"$2,732,466","$819,740"
Ohio,2015,,Day Pass,Squirrel Rork Industries LLC,,,"$816,636"
Washington,2013,Feature Film,Laggies,,,,"$815,636"
Connecticut,2015,Film and Digital Media Production Tax Credit,,Bob's Discount Furniture LLC,,,"$815,388"
Louisiana,2010,Feature Film,Columbiana,Columbiana Inc,,"$2,542,143","$815,360"
Ohio,2013,,The Christmas Spirit,"Spirit Productions, LLC",,,"$814,821"
